­ఊహించలేరు	ఊహ లేదు
ముగ్గురూ	ముగ్గురు
ముడుచుకుని	ముడుచు
మునిగి	మునుగు
ముప్పిరిగొన్నాయి	ముప్పిరిగొను
ముప్పై	ముప్పై
మూడు	మూడు
మూడుసార్లు	మూడు సార్లు
మూల్యం	మూల్యం
మూసుకుని	మూసుకు
మూసుకున్న	మూసుకు ఉండు
మూసుకున్నాడు	మూసుకు
మృత్యువాతపడిన	మృత్యువు పడిన
మృత్యువును	మృత్యువు
మెచ్చుకున్నారే	మెచ్చు
మెడ	మెడ
మెదడు	మెదడు
మెదడులో	మెదడు
మెరిట్‌	మెరిట్‌
మెరిస్తే	మెరుపు
మెరుపులా	మెరుపు
మేం	మేం
మేధావి	మేధావి
మేము	మేము
మేరకు	మేర
మొండి	మొండి
మొండితనం	మొండి
మొక్కల	మొక్క
మొక్కలకు	మొక్క
మొక్కలను	మొక్క
మొక్కలపై	మొక్క
మొదటి	మొదట
మొదలు	మొదలు
మొన్నా	మొన్న
మొరటు	మొరటు
మొహం	మొహం
మొహంమీదా	మొహం మీద
మొహాల	మొహం
మొహాలు	మొహం
మోరల్‌	మోరల్‌
మౌనం	మౌనం
మౌనంగా	మౌనం
మౌలిక	మౌలిక
మ్యూజియంకి	మ్యూజియం
యజమాని	యజమాని
యజమానికి	యజమాని
యజమానికీ	యజమాని
యాంత్రికంగా	యాంత్రిక
యాక్టివ్‌	యాక్టివ్‌
యాత్రల	యాత్ర
యాత్రలు	యాత్ర
యువ	యువ
యువత	యువత
యువతను	యువత
యువతలో	యువత
యువస్కులే	వయను
యూత్‌	యూత్‌
యూనివర్సిటీ	యూనివర్సిటీ
రకమైన	రకము
రక్కుతోన్న	రక్కు
రక్తం	రక్తం
రచ్చబండ	రచ్చబండ
రద్దీ	రద్దీ
రమణకుమార్	రమణకుమార్
రహస్యంగా	రహస్యం
రాజకీయ	రాజకీయ
రాత్రి	రాత్రి
రాదు	రాదు
రావచ్చు	రా వచ్చు
రావడం	రావడం
రావడానికేం	రావడం ఏమి
రావాలి	రా
రావు	రావు
రాహులే	రాహు
రాహుల్	రాహు
రాహుల్‌కి	రాహు
రాహుల్‌తో	రాహు
రాహుల్‌తోపాటు	రాహు పాటు
రాహుల్‌ని	రాహు
రుచి	రుచి
రూపాయలు	రూపాయ
రూపొందటం	రూపం పొందు
రూపొందించుకుని	రూపొందు
రెండడుగులు	రెండవ
రెండు	రెండు
రెండువేపులా	రెండు వేపు
రెండూ	రెండు
రెండో	రెండు
రెచ్చిపోతారు	రెచ్చిపోవు
రేపు	రేపు
రోజుల	రోజు
రోజులు	రోజు
రోజూ	రోజు
రోజూ	రోజూ
రోడ్డు	రోడ్డు
రోడ్డుకి	రోడ్డు
రోడ్డులో	రోడ్డు
రోడ్డే	రోడ్డు
లండన్	లండన్
లక్షణం	లక్షణం
లక్షణమని	లక్షణము
లభించినదే	లభించు
లాంటిదా	లాంటి
లాక్కుని	లాగు
లాక్కెళుతుంటే	లాగు
లాగడంతో	లాగు
లాగాడు	లాగు
లాగి	లాగు
లాగింది	లాగు
లాగుతున్నాడు	లాగు ఉండు
లాగేసి	లాగు
లాభాలు	లాభం
లారీ	లారీ
లాస్	లాస్
లెక్కపెట్టని	లెక్కపెట్టు
లెక్కల	లెక్క
లేక	లేక
లేకపోయినప్పటికీ	లేక పోవు అప్పుడు
లేకపోవడం	లేదు పోవు
లేకుండా	లేదు
లేచి	లేచి
లేచింది	లేచి
లేచేలోగా	లేచి
లేడు	లేడు
లేదంటే	లేదు
లేదా	లేదు
లేదు	లేదు
లేదుగా	లేదు
లేదో	లేదు
లేని	లేని
లేనివారికి	లేని వారు
లేనివి	లేని
లేరు	లేరు
లొంగిపోని	లొంగిపోవు
లోకంలో	లోకం
లోకజ్ఞానం	లోక జ్ఞానం
వంగి	వంగి
వంచి	వంచి
వందమైళ్ల	వంద మైళ్ళు
వచ్చని	వచ్చు అని
వచ్చాం	వచ్చు
వచ్చాక	వచ్చి
వచ్చాడు	వచ్చి
వచ్చాయని	వచ్చు అను
వచ్చారు	వచ్చి
వచ్చారో	వచ్చు
వచ్చి	వచ్చి
వచ్చి	వచ్చు
వచ్చింది	వచ్చి
వచ్చిందీ	వచ్చు
వచ్చిన	వచ్చిన
వచ్చినట్టుంది	వచ్చిన ఉండు
వచ్చే	వచ్చు
వచ్చేది	వచ్చు
వచ్చేలోగా	వచ్చు
వచ్చేవారు	వచ్చు
వచ్చేసామా	వచ్చు
వణికిపోతూ	వణుకు
వణికిపోసాగింది	వణుకు సాగు
వదలడానికి	వదులు
వదిలి	వదులు
వదిలిపెట్టడం	వదులు పెట్టు
వదిలిపోయింది	వదులు పోవు
వద్దకు	వద్ద
వద్దు	వద్దు
వయసు	వయసు
వయసుతోపాటు	వయసు పాటు
వరిస్తాయి	వరించు
వర్షం	వర్షం
వర్షాలకు	వర్షము
వల్ల	వల్ల
వస్తా	వస్తా
వస్తాయి	వచ్చు
వస్తారు	వచ్చు
వస్తుంటే	వచ్చు
వస్తుందంటారా	వస్తుంది అంట
వస్తుంది	వస్తుంది
వస్తున్నాం	వచ్చు
వస్తువుని	వచ్చు
వస్తే	వచ్చు
వాగుతున్నావ్	వాగు
వాటికి	వాటికి
వాటిని	వాటి
వాటిల్లబోతోంది	వాటిల్లు ఉండు
వాడాలి	వాడు
వాడి	వాడు
వాడికంటే	వాడు
వాడిది	వాడు
వాడినన్న	వాడు అను
వాడిలా	వాడు
వాడు	వాడు
వాడుతున్నావు	వాడు ఉండు
వాడుతూంటారు	వాడు ఉండు
వాడే	వాడు
వాడేం	వాడు
వాదన	వాదన
వాన	వాన
వారంగా	వారం
వారంతా	వారు
వారసుడు	వారసుడు
వారి	వారి
వారి	వారు
వారిదీ	వారు
వారిస్తూ	వారించు
వారు	వారు
వారే	వారు
వార్తలు	వార్త
వాల్లని	వారు
వాళ్ల	వాళ్లు
వాళ్లంతా	వాళ్లు అంత
వాళ్లకే	వాళ్లు
వాళ్లతో	వాళ్లు
వాళ్లది	వాళ్లు
వాళ్లని	వాళ్లు
వాళ్లని	వాళ్లు
వాళ్లలా	వాళ్లు
వాళ్లలో	వాళ్లు
వాళ్లలో	వాళ్లు
వాళ్లలోని	వాళ్లు
వాళ్లల్లో	వాళ్లు
వాళ్లిద్దరి	వాళ్లు ఇద్దరు
వాళ్లు	వాళ్లు
వాళ్లెవరో	వాళ్లు ఎవరు
విజయ	విజయ
విజయం	విజయం
విజయవంతంగా	విజయవంతం
విజయవాడ	విజయవాడ
విజయవాడలో	విజయవాడ
విజయ్	విజయ
విజేతలకు	విజేత
విజేతలకే	విజేత
విజేతలు	విజేత
విడిపించుకుంది	విడి ఉండు
విడివిడి	విడి
విడుదలవుతుంటాయ్‌	విడుదల అవు
విద్యార్థులు	విద్యార్ధి
విద్యార్థులూ	విద్యార్ధి
విద్యార్థులే	విద్యార్ధి
విధానం	విధానం
వినండి	విను
వినదల్చుకునేలా	విను
వినరు	విను
వినిపించుకునేలా	విను
వినిపించుకోకుండా	విను
వినోదం	వినోదం
విన్యాసాలు	విన్యాసము
విపరీతమైన	విపరీతం అయి
విప్పి	విప్పు
విభజించి	విభజన
విమర్శల	విమర్శ
విమర్శలకు	విమర్శ
విమర్శలు	విమర్శ
విలాసానికో	విలాసం
విలువైన	విలువ
విశేషం	విశేషం
విశ్లేషణ	విశ్లేషణ
విశ్వవిద్యాలయం	విశ్వవిద్యాలయం
విశ్వవిద్యాలయాలు	విశ్వవిద్యాలయం
విషయం	విషయం
విషయంలో	విషయం
విషయంలోనైనా	విషయం అయి
విషయాలపై	విషయం పై
విషయాలు	విషయం
విషయాల్లో	విషయం
విషాదం	విషాదం
విసిరాడు	విసురు
విసిరికొట్టి	విసురు కొట్టు
విసుక్కుంది	విసుగు ఉండు
విసురుగా	విసురు
విస్మరించి	విస్మరించు
విహారవిజ్ఞాన	విహారవిజ్ఞాన
వీక్షించలేదు	వీక్షించు లేదు
వీటి	వీటి
వీటిలో	వీటి
వీరిలో	వీరు
వీరు	వీరు
వీళ్ల	వీళ్ల
వీళ్లతో	వీళ్ల
వీళ్లు	వీళ్లు
వీళ్లెటు	వీళ్ల
వీళ్లేకాదు	వీళ్ళు కాదు
వృక్ష	వృక్షము
వృక్షశాస్త్ర	వృక్షశాస్త్రము
వృత్తిలో	వృత్తి
వెంట	వెంట
వెంటనే	వెంటనే
వెక్కిరింతలు	వెక్కిరింత
వెక్కివెక్కి	వెక్కి
వెక్కుతూనే	వెక్కు
వెచ్చటి	వెచ్చ
వెతికింది	వెతుకు
వెధవలు	వెధవ
వెనక	వెనక
వెనకాల	వెనక
వెనక్కి	వెనక
వెనుక	వెనుక
వెలుగులో	వెలుగు
వెల్లకిలా	వెల్లకి
వెళితే	వెళ్లు
వెళ్తారో	వెళ్లు
వెళ్తుంటే	వెళ్లు
వెళ్తున్న	వెళ్లు
వెళ్తున్నట్టు	వెళ్లు
వెళ్తున్నాం	వెళ్లు
వెళ్తున్నాయి	వెళ్లు ఉండు
వెళ్తున్నారు	వెళ్లు ఉండు
వెళ్తూ	వెళ్లు
వెళ్తే	వెళ్లు
వెళ్దాం	వెళ్లు
వెళ్లకు	వెళ్లు
వెళ్లడం	వెళ్లు
వెళ్లాడు	వెళ్లు
వెళ్లానా	వెళ్లు
వెళ్లాలన్నా	వెళ్లు అను
వెళ్లాలి	వెళ్లు
వెళ్లి	వెళ్లు
వెళ్లిందాకా	వెళ్లు దాకా
వెళ్లింది	వెళ్లు
వెళ్లిన	వెళ్లు
వెళ్లినపుడు	వెళ్లు అపుడు
వెళ్లినా	వెళ్లు
వెళ్లిపోతాం	వెళ్లు పోవు
వెళ్లిపోదాం	వెళ్లు పోవు
వెళ్లిపోయాయి	వెళ్లు పోవు
వెళ్లే	వెళ్లు
వెళ్లేది	వెళ్లు
వేగం	వేగం
వేగంగా	వేగం
వేగంతో	వేగం
వేయగల్గుతాడు	వేయగల
వేయలేని	వేయు
వేయాలనుకోవడం	వేయు
వేరే	వేరు
వేరొకరి	వేరు ఒకరు
వేశాడు	వేయు
వేసింది	వేయు
వేసే	వేయు
వేస్తూ	వేయు
వైద్యశాస్త్రం	వైద్యశాస్త్రం
వైపు	వైపు
వైపులా	వైపు
వొంటి	వొంటి
వ్యక్తం	వ్యక్త
వ్యక్తి	వ్యక్తి
వ్యక్తిత్వాన్ని	వ్యక్తిత్వం
వ్యక్తుల	వ్యక్తి
వ్యక్తులను	వ్యక్తి
వ్యక్తులు	వ్యక్తి
వ్యక్తుల్ని	వ్యక్తి
వ్యధకు	వ్యధ
వ్యవసాయమే	వ్యవసాయము
వ్యాఖ్యల్ని	వ్యాఖ్య
వ్యాపారంలో	వ్యాపారం
వ్యాపారి	వ్యాపారి
వ్యాయామం	వ్యాయామం
వ్యాల్యూస్‌	వ్యాల్యూస్‌
శక్తి	శక్తి
శక్తిసామర్థ్యాలు	శక్తి సామర్ధ్యం
శనాదివారాలు	శని ఆది వారం
శరీర	శరీరము
శాతం	శాతము
శారీరక	శారీరము
శాలువా	శాలువా
శాస్తజ్ఞ్రులలో	శాస్త్రజ్ఞులు
శాస్త్రవేత్తలు	శాస్త్రవేత్త
శాస్త్రవేత్తగా	శాస్త్రవేత్త
శిశిర	శిశిరము
శిశిరకి	శిశిరము
శిశిరతో	శిశిరము
శిశిరా	శిశిరము
శీర్షికలకెక్కుతుంది	శీర్షిక ఎక్కు
శృతి	శృతి
శృతిని	శృతి
శోధించి	శోధించు
శ్రమలు	శ్రమ
శ్రమించి	శ్రమ
శ్రేయస్సుకు	శ్రేయస్సు
సంకల్పం	సంకల్పము
సంగతి	సంగతి
సంగతేంటో	సంగతి ఏంటి
సంగీతం	సంగీతము
సంఘటన	సంఘటన
సంఘటనలు	సంఘటన
సంఘటనలో	సంఘటన
సంఘటనల్ని	సంఘటన
సంతృప్తిని	సంతృప్తి
సంతోషం	సంతోషం
సంతోషంగా	సంతోషం
సంతోషకరమైన	సంతోషం
సంతోషమైన	సంతోషము
సంతోషాన్ని	సంతోషం
సంతోషాల	సంతోషం
సంపదలు	సంపద
సంప్రదించింది	సంప్రదించు
సంస్థ	సంస్థ
సంస్థను	సంస్థ
సక్రమ	సక్రమం
సత్ఫలితాలు	సత్ఫలితం
సన్నగా	సన్న
సన్నిహితురాలైంది	సన్నిహితం
సబబే	సబబు
సమతూకంగా	సమతూకం
సమయం	సమయం
సమస్యలలో	సమస్య
సమాధి	సమాధి
సమావేశమై	సమావేశము
సముద్రంలోకి	సముద్రం
సమూహాలుగా	సమూహం
సరిగా	సరిగ
సరిగ్గా	సరిగ్గా
సరే	సరి
సరేనా	సరి
సరైన	సరి అయి
సరైనది	సరి అయి
సర్దుకుని	సర్దు
సర్వస్వం	సర్వస్వం
సలహా	సలహా
సలహాలు	సలహా
సవాలు	సవాలు
సహచరుల	సహచరులు
సహజం	సహజం
సాగిపోతున్నాయి	సాగిపోవు
సాధన	సాధన
సాధనకు	సాధన
సాధారణ	సాధారణ
సాధించగలరని	సాధించు
సాధించడమేగాక	సాధించు
సాధించలేమని	సాధించు
సాధించిన	సాధించు
సాధ్యంకాదు	సాధ్యం
సానుకూలంగా	సానుకూలం
సానుభూతితో	సానుభూతి
సాఫీగానే	సాఫు
సాఫ్ట్‌వేర్‌	సాఫ్ట్‌వేర్‌
సామర్థ్యాలు	సామర్థ్యం
సాయం	సాయం
సాయపడడంతో	సాయం
సావాసాల	సావాసం
సాహసం	సాహస
సాహసం	సాహసం
సాహసంగా	సాహసం
సాహసాలు	సాహసం
సిద్ధపడేవాళ్లూ	సిద్ధపడు వాళ్ళు
సిద్ధమయ్యాడు	సిద్ధము అవ్వు
సీటు	సీటు
సీటులో	సీటు
సీట్ల	సీటు
సీట్లు	సీటు
సీట్లో	సీటు
సీట్లోంచి	సీటు
సీనియర్‌	సీనియర్‌
సీసా	సీసా
సీసాతో	సీసా
సుఖము	సుఖము
సూచన	సూచన
సూచనలను	సూచన
సూచనలు	సూచన
సూచిస్తుంది	సూచిక
సృజనాత్మకమైన	సృజనాత్మక
సేపట్లో	సేపు
సైకాలజిస్టు	సైకాలజిస్టు
సైతం	సైతం
సొంత	సొంతము
సొంతం	సొంతము
సొంతంగా	సొంతం
సోమవారం	సోమవారం
స్కేల్	స్కేల్
స్కేల్‌తో	స్కేల్‌
స్కేల్‌నే	స్కేల్‌
స్కేళ్ల	స్కేలు
స్కేళ్లు	స్కేలు
స్థాపించాడు	స్థాపించు
స్థాయిని	స్థాయి
స్థితిలో	స్థితి
స్నేహం	స్నేహం
స్నేహితులు	స్నేహిత
స్పందనకు	స్పందన
స్పర్శనిబట్టి	స్పర్శ
స్పృహ	స్పృహ
స్ఫూర్తిని	స్ఫూర్తి
స్ఫూర్తిప్రదాతలని	స్ఫూర్తి ప్రదాత
స్రావాలు	స్రావము
స్వంత	స్వంత
స్వభావానికి	స్వభావం
స్వయం	స్వయం
స్వరంతో	స్వరం
స్వార్థ	స్వార్థం
స్వీకరించండి	స్వీకరించు
స్వేచ్ఛ	స్వేచ్ఛ
స్వేచ్ఛతో	స్వేచ్చ
హమ్మయ్య	హమ్మయ్య
హార్మోన్	హార్మోన్
హుషారు	హుషారు
హృదయం	హృదయం
హెచ్చరించారో	హెచ్చరించు
హెచ్‌సీయూ	హెచ్‌సీయూ
హైపర్‌	హైపర్‌
హైవే	హైవే
హోటల్	హోటల్
హోటల్లో	హోటల్‌
హోదా	హోదా
హోరుకి,హోరు
